,id,y,x,name,type,category,surface,parking,KMcluster10,complete_name,Population_inf_1_Km,nombre_de_voisins,index_voisins
0,553212547,33.5446668,-7.6404008,Marjane Californie,node,Super Market,4500,1.0,7.0,"Super Market Marjane Californie at -7.6404008 , 33.5446668",45427.16259765625,1,[152]
1,1464579577,33.5945384,-7.595292,Acima,node,Super Market,1500,1.0,4.0,"Super Market Acima at -7.595292 , 33.5945384",64912.04296875,18,"[34, 48, 63, 86, 89, 111, 112, 114, 123, 124, 125, 127, 128, 129, 145, 172, 190, 224]"
2,1848408214,33.5746919,-7.7081046,Marjane Market Ghandi Mall,node,Super Market,250,0.0,5.0,"Super Market Marjane at -7.7081046 , 33.5746919",8021.8134765625,0,[]
3,1848525532,33.5771567,-7.6741813,Carrefour Market Anfa,node,Super Market,250,0.0,1.0,"Super Market Carrefour Market at -7.6741813 , 33.5771567",29355.087890625,0,[]
4,1867124354,33.587934,-7.6393035,Supermarché Mamoun,node,Super Market,250,0.0,1.0,"Super Market Supermarché Mamoun at -7.6393035 , 33.587934",19664.840087890632,11,"[6, 10, 12, 21, 30, 40, 61, 102, 106, 134, 221]"
5,2156197334,33.5946995,-7.6515832,Marjane Market Riad Anfa,node,Super Market,1500,1.0,1.0,"Super Market Marjane Market Riad Anfa at -7.6515832 , 33.5946995",13405.20776367188,2,"[6, 126]"
6,2156197358,33.5908294,-7.6461785,Carrefour Gourmet,node,Super Market,1500,1.0,1.0,"Super Market Carrefour Market at -7.6461785 , 33.5908294",23391.49487304688,6,"[4, 5, 12, 21, 102, 126]"
7,2349795861,33.6022232,-7.5788395,Hachmi,node,Super Market,250,0.0,4.0,"Super Market Hachmi at -7.5788395 , 33.6022232",71464.8798828125,2,"[110, 223]"
8,2382130572,33.5981369,-7.6644676,Carrefour Market Anfa Place,node,Super Market,1500,1.0,1.0,"Super Market Carrefour at -7.6644676 , 33.5981369",9049.2333984375,0,[]
9,2694336684,33.5640326,-7.555968,BIM,node,Super Market,250,0.0,0.0,"Super Market BIM at -7.555968 , 33.5640326",198471.984375,1,[22]
