,X,Y,Z,Cluster,ClusterZ
111802,-7.4304166384129,33.6954167246752,3016.727294921875,3,0
111803,-7.422083305112899,33.6954167246752,3314.03515625,3,0
111804,-7.4137499718129,33.6954167246752,2474.078125,3,0
112488,-7.438749971712901,33.6870833913752,3675.7958984375,3,0
112489,-7.4304166384129,33.6870833913752,4756.00634765625,3,3
112490,-7.422083305112899,33.6870833913752,5018.0087890625,0,3
112491,-7.4137499718129,33.6870833913752,3290.739990234375,3,0
113178,-7.4470833050128995,33.678750058075195,3606.40234375,3,0
113179,-7.438749971712901,33.678750058075195,5770.8056640625,0,3
113180,-7.4304166384129,33.678750058075195,8306.0625,0,3
113181,-7.422083305112899,33.678750058075195,8133.35498046875,0,3
113182,-7.4137499718129,33.678750058075195,6233.27880859375,0,3
113875,-7.463749971612899,33.670416724775194,4043.069580078125,3,0
113876,-7.455416638312901,33.670416724775194,3792.62841796875,3,0
113877,-7.4470833050128995,33.670416724775194,4550.8466796875,3,0
113878,-7.438749971712901,33.670416724775194,8585.646484375,0,3
113879,-7.4304166384129,33.670416724775194,6453.4072265625,0,3
113880,-7.422083305112899,33.670416724775194,7125.7216796875,0,3
113881,-7.4137499718129,33.670416724775194,6177.330078125,0,3
114574,-7.472083304912899,33.6620833914752,4216.47509765625,3,0
114575,-7.463749971612899,33.6620833914752,4870.86669921875,3,3
114576,-7.455416638312901,33.6620833914752,5395.5205078125,0,3
114577,-7.4470833050128995,33.6620833914752,6164.5234375,0,3
114578,-7.438749971712901,33.6620833914752,8937.5263671875,0,3
114579,-7.4304166384129,33.6620833914752,3987.7998046875,3,0
114580,-7.422083305112899,33.6620833914752,3488.62109375,3,0
114581,-7.4137499718129,33.6620833914752,7365.83935546875,0,3
115274,-7.480416638212899,33.6537500581752,7025.146484375,0,3
115275,-7.472083304912899,33.6537500581752,6051.76123046875,0,3
115276,-7.463749971612899,33.6537500581752,5818.66259765625,0,3
115277,-7.455416638312901,33.6537500581752,4592.57080078125,3,0
115278,-7.4470833050128995,33.6537500581752,4682.56689453125,3,0
115279,-7.438749971712901,33.6537500581752,4693.32080078125,3,0
115280,-7.4304166384129,33.6537500581752,2139.832763671875,3,0
115281,-7.422083305112899,33.6537500581752,3019.663818359375,3,0
115282,-7.4137499718129,33.6537500581752,4980.154296875,0,3
115976,-7.497083304812899,33.6454167248752,3625.53466796875,3,0
115977,-7.488749971512899,33.6454167248752,4091.246826171875,3,0
115978,-7.480416638212899,33.6454167248752,7673.0283203125,0,3
